三叉神经痛	三叉神经疼
头皮屑	头皮屑很多
头皮屑	头皮部屑
头皮屑	头部皮肤屑
头皮屑	皮屑多
头皮疼痛	头皮疼
头皮疼痛	头皮部疼痛
头皮疼痛	头部皮肤疼痛
头皮结节	头皮部结节
头皮结节	头部皮肤结节
头皮肿胀	头皮部肿胀
头皮肿胀	头部皮肤肿胀
头皮鳞屑	头皮部鳞屑
头皮鳞屑	头部皮肤鳞屑
头皮鳞屑	头部鳞屑
头胀	大脑胀
头胀	头部胀
头胀	脑袋胀
头胀	颅脑胀
头部皮损	头皮皮损
头部皮损	头皮部皮损
头部皮损	头部皮肤皮损
头部皮损	颅脑皮损
头颈无力	头颈部无力
头颈部疼痛	头部颈疼痛
头颈部疼痛	头部颈部疼痛
头颈部疼痛	头颈疼痛
奇痒	剧痒
子宫内膜薄	子宫内壁薄
子宫内膜薄	子宫内膜变薄
子宫内膜薄	子宫内膜太薄
子宫内膜薄	子宫内膜很薄
子宫内膜薄	子宫内膜过薄
子宫内膜薄	子宫壁薄
子宫内膜薄	子宫膜薄
子宫内膜薄	子宫薄
子宫出血	子宫宫颈出血
子宫出血	子宫流血
子宫出血	子宫颈出血
子宫出血	宫颈出血
定向障碍	定向力障碍
宫颈举痛	子宫宫颈举痛
宫颈举痛	子宫宫颈疼痛
宫颈举痛	子宫颈举痛
宫颈举痛	子宫颈有举痛
宫颈举痛	子宫颈疼痛
宫颈举痛	宫颈疼痛
宫颈举痛	宫颈痛
宫颈水肿	子宫宫颈水肿
宫颈水肿	子宫颈水肿
宫颈畸形	子宫宫颈畸形
宫颈畸形	子宫颈畸形
宫颈糜烂	子宫宫颈糜烂
宫颈糜烂	子宫颈糜烂
宫颈红肿	子宫宫颈红肿
宫颈红肿	子宫颈红肿
寒战	寒颤
寒战	打寒战
寒战	突然寒战
射精疼痛	射精后疼痛
射精疼痛	射精时疼痛
射精疼痛	射精疼
小儿咳嗽	儿童咳嗽
小儿咳嗽	小孩咳嗽
小腹下坠	下腹下坠
小腹下坠	下腹有下坠感
小腹下坠	下腹部下坠
小腹下坠	下腹部有下坠感
小腹下坠	小肚子下坠
小腹下坠	小肚子有下坠感
小腹下坠	小腹有下坠感
小腹下坠	小腹部下坠
小腹下坠	小腹部有下坠感
小腿溃疡	小腿部溃疡
小腿疼痛	小腿疼
小腿疼痛	小腿痛
小腿疼痛	小腿肌疼痛
小腿疼痛	小腿肌肉痛
小腿疼痛	小腿肌肉酸痛
小腿疼痛	小腿肚子抽搐
小腿疼痛	小腿肚子疼
小腿疼痛	小腿肚子疼痛
小腿疼痛	小腿肚子痛
小腿疼痛	小腿胀痛
小腿疼痛	小腿部疼痛
小腿皮损	小腿部皮损
小腿皮疹	小腿部皮疹
小腿红斑	小腿部红斑
小腿肌肉萎缩	小腿肌萎缩
小腿肌肉萎缩	小腿肚子萎缩
小腿肿胀	小腿水肿
小腿肿胀	小腿浮肿
小腿肿胀	小腿肿
小腿肿胀	小腿部水肿
小腿肿胀	小腿部肿胀
小腿肿胀	老年人小腿浮肿
少尿	尿少
少尿	尿量减少
少精	精子数量少
少精	精子稀少
少精	精液少
少精	精液量减少
尿分叉	小便分叉
尿分叉	尿尿分叉
尿分叉	尿液分叉
尿分叉	排尿分叉
尿急	小便急
尿急	尿急难忍
尿痛	小便会痛
尿痛	小便刺痛
尿痛	小便后疼
尿痛	小便后疼痛
尿痛	小便时有点痛
尿痛	小便时疼
尿痛	小便时疼痛
尿痛	小便时痛
尿痛	小便有点疼
尿痛	小便有点痛
尿痛	小便有疼痛感
尿线细	尿流变细
尿道不适	泌尿道不适
尿道刺痒	尿道内刺痒
尿道刺痒	泌尿道刺痒
尿道口出血	尿道外口出血
尿道口刺痛	尿道外口刺痛
尿道口疼痛	尿道口疼
尿道口疼痛	尿道外口疼痛
尿道口瘙痒	尿道口痒
尿道口瘙痒	尿道外口瘙痒
尿道口瘙痒	尿道瘙痒
尿道口瘙痒	泌尿道瘙痒
尿道口红肿	尿道外口红肿
尿道口红肿	尿道红肿
尿道口红肿	泌尿道红肿
尿道梗阻	泌尿道梗阻
尿道水肿	泌尿道水肿
尿道灼热	尿道烧灼
尿道灼热	尿道烧灼感
尿道灼热	泌尿道灼热
尿道灼热	泌尿道烧灼感
尿道瘢痕	泌尿道瘢痕
尿道肿胀	泌尿道肿胀
尿频	夜尿增多
尿频	夜尿多
尿频	夜尿频多
尿频	小便次数增多
尿频	小便次数多
尿频	小便频数
尿频	小便频繁
尿频	尿次数多
尿频	尿的次数多
尿频	尿频急
尿频	总想小便
尿黄	小便发黄
尿黄	小便很黄
尿黄	小便深黄
尿黄	小便黄
尿黄	小便黄赤
尿黄	尿发黄
尿黄	尿很黄
尿黄	尿液发黄
尿黄	尿液很黄
尿黄	尿黄赤
局部水肿	局部充血水肿
局部疼痛	患处疼痛
局部瘙痒	局部皮肤瘙痒
屈伸不利	关节屈伸不利
左上腹痛	左上腹疼痛
左上腹痛	左上腹部疼痛
左上腹痛	左上腹部痛
左侧腹痛	左侧肚子疼
左侧腹痛	左侧肚子疼痛
左侧腹痛	左侧肚子痛
左侧腹痛	左侧腹疼
左侧腹痛	左侧腹疼痛
左侧腹痛	左侧腹部疼
左侧腹痛	左侧腹部痛
左侧腹痛	左腹疼
左侧腹痛	左腹疼痛
左侧腹痛	左腹痛
左侧腹痛	左腹部疼
巩膜黄染	皮肤巩膜黄染
巩膜黄染	眼球黄
巩膜黄染	眼睛黄
巩膜黄染	眼部黄
干咳	刺激性咳嗽
干咳	咳嗽少痰
干咳	咳嗽无痰
干咳	小儿干咳
干咳	干咳嗽
干咳	干咳少痰
干咳	干咳无痰
干咳	干咳痰少
干咳	干性咳嗽
幻听	听幻觉
异物感	有异物感
弹响	关节响
弹响	关节弹响
弹响	膝关节响
心前区不适	心口不适
心前区不适	心口窝不适
心前区不适	胸口不适
心前区疼痛	心前区疼痛不适
心动过缓	心率过缓
心动过缓	心脏跳动慢
心动过缓	心脏跳的慢
心动过缓	心脏过缓
心动过速	心悸
心动过速	心悸不宁
心动过速	心悸怔忡
心动过速	心慌
心动过速	心慌不适
心动过速	心慌心跳
心动过速	心率加快
心动过速	心率增快
心动过速	心率快
心动过速	心率过快
心动过速	心率过速
心绞痛	心口疼
心绞痛	心口痛
心绞痛	心口窝疼
心绞痛	心痛
心绞痛	心脏刺痛
心绞痛	心脏疼
心绞痛	心脏疼痛
心绞痛	心脏绞痛
心绞痛	心脏隐痛
心脏杂音	心脏有杂音
心血管畸形	心血管系统畸形
心血管疾病	心血管系统疾病
心血管衰竭	心血管系统衰竭
忧郁	什么事都做不好
忧郁	什么都做不好
忧郁	心情忧郁
忧郁	情绪忧郁
忧郁	精神忧郁
怕热	喜冷怕热
怕热	喜凉怕热
思维迟缓	思维缓慢
思维迟缓	思维迟钝
性交痛	做爱时疼痛
性交痛	做爱疼痛
性交痛	同房时疼痛
性交痛	同房疼痛
性交痛	性交后疼痛
性交痛	性交困难
性交痛	性交时疼痛
性交痛	性交疼痛
性交痛	性生活疼痛
性交痛	房事疼痛
性功能减退	性功能低下
性欲减退	性冷淡
性欲减退	性欲下降
性欲减退	性欲低下
性欲减退	性淡漠
恶心	一直想吐
恶心	不舒服想吐
恶心	反胃
恶心	反胃想吐
恶心	干呕
恶心	总想吐
恶心	总是想吐
恶心	恶心不适
恶心	恶心想吐
恶心	恶心欲呕
恶心	想吐
恶臭	恶臭味
恶风	怕风
情绪低落	心境低落
情绪低落	心情不好的时候
情绪低落	心情很不好
情绪低落	心情总是不好
情绪低落	老是提不起精神
惊恐	惊恐发作
意识障碍	意识不清
意识障碍	意识丧失
意识障碍	意识模糊
意识障碍	神志恍惚
意识障碍	神经意识障碍
意识障碍	突然意识丧失
扁桃体肿大	扁桃体3度肿大
扁桃体肿大	扁桃体三度肿大
扁桃体肿大	扁桃体发炎肿大
扁桃体肿大	扁桃体增生
扁桃体肿大	扁桃体大
扁桃体肿大	扁桃体很大
扁桃体肿大	扁桃体红肿
扁桃体肿大	扁桃体肥大
扁桃体肿大	扁桃体肿痛
扁桃体肿大	扁桃体肿胀
扁桃体肿大	扁桃肿大
手心潮热	手掌潮热
手心潮热	掌心潮热
手抖	两手颤动
手抖	两手颤抖
手抖	双手颤抖
手抖	手部抖
手抖	手部震颤
手抖	手部颤
手抖	手颤
手抖	手颤抖
手指乏力	手指部乏力
手指乏力	指头乏力
手指僵硬	手指部僵硬
手指僵硬	指头僵硬
手指关节疼痛	手关节疼
手指关节疼痛	手关节疼痛
手指关节疼痛	手关节痛
手指关节疼痛	手指关节疼
手指关节疼痛	手指关节痛
手指关节疼痛	手指关节肿痛
手指关节疼痛	手指关节胀痛
手指关节疼痛	手部关节疼痛
手指关节疼痛	手部骨关节疼痛
手指关节疼痛	指节疼痛
手指关节疼痛	指节痛
手指出血	手指部出血
手指出血	指头出血
手指化脓	手指部化脓
手指化脓	指头化脓
手指水肿	手指部水肿
手指水肿	指头水肿
手指疱疹	手指部疱疹
手指疱疹	指头疱疹
手指麻痹	手指部麻痹
手指麻痹	指头麻痹
手掌皮疹	手心皮疹
手掌皮疹	手掌部皮疹
手掌皮疹	掌心皮疹
手掌皮疹	掌面皮疹
手掌鳞屑	手心鳞屑
手掌鳞屑	手掌部鳞屑
手掌鳞屑	掌心鳞屑
手掌鳞屑	掌面鳞屑
手掌麻木	手心麻木
手掌麻木	手掌部麻木
手掌麻木	掌心麻木
手掌麻木	掌面麻木
手背肿胀	手指背肿胀
手背肿胀	手背部肿胀
手脱皮	手指脱皮
手脱皮	手掌脱皮
手脱皮	手部脱皮
手足多汗	手足部多汗
手足无力	手足部无力
手足畸形	手足部畸形
手足皲裂	手足部皲裂
手足肿胀	手足部肿胀
手足脱皮	手脚脱皮
手足脱皮	手足部脱皮
手足颤抖	手脚颤抖
手足颤抖	手足部颤抖
扭伤	扭到脚踝
扭伤	筋拉伤
扭伤	脖子扭了
扭伤	脚踝崴了
扭伤	脚踝扭了
抽动	上下肢抽动
抽动	四肢抽动
抽动	总是清嗓子
抽动	肢体抽动
抽动	胳膊腿抽动
持续发热	发热不退
持续发热	持续性发热
持续高热	持续发烧
持续高热	高热不退
持续高热	高热持续
指甲出血	手指甲出血
指甲疼痛	手指甲疼痛
指甲红肿	手指甲红肿
排便异常	大便异常
排便次数增多	便次增多
斑块	动脉班块
斜视	儿童斜视
斜视	内斜视
斜视	孩子眼睛有点斜
斜视	对眼
斜视	斗鸡眼
无尿	尿闭
无痛性便血	无痛性血便
早搏	早博
早搏	过早搏动
早泄	射精快
早泄	射精过快
早泄	性生活时间短
早泄	早泻
早泄	男性早泄
早饱	早饱感
昏迷	昏倒
昏迷	昏厥
昏迷	昏迷不醒
昏迷	晕厥
昏迷	神志昏迷
昏迷	突然昏迷
昏迷	虚脱
易出汗	出汗增多
易出汗	出汗多
易出汗	出汗较多
易出汗	容易出汗
易出血	容易出血
易激惹	容易激动
易激惹	容易激怒
易激惹	情绪容易激动
易激惹	情绪易激动
易激惹	易兴奋
易激惹	易哭闹
易激惹	易激动
易激惹	易激怒
易疲劳	容易疲乏
易疲劳	容易疲劳
易疲劳	易倦
易疲劳	易疲乏
易疲劳	易疲倦
易醒	夜间易醒
易醒	易惊易醒
易醒	浅睡易醒
易醒	睡觉易醒
易饥饿	容易饥饿
易饥饿	容易饿
易饥饿	易饿
晕车	晕车晕船
智力低下	智力减退
智力低下	智力发育落后
智力低下	智力发育迟缓
智力低下	智力落后
智力低下	智力障碍
智力低下	智能减退
智力低下	智能障碍
暴饮暴食	暴食
月经提前	经期提前
月经量少	月经稀少
月经量少	月经过少
月经量少	月经量稀少
月经量少	量少发黑
月经量少	量少有血块
月经频发	月经频繁
构音障碍	构音不清
构音障碍	言语不清
毛囊化脓	皮肤毛囊化脓
毛孔堵塞	毛发孔堵塞
毛孔粗大	毛发孔粗大
毛孔粗大	毛孔变大
毛孔粗大	油性皮肤毛孔粗
毛孔粗大	皮肤毛孔大
毛孔粗大	皮肤毛孔粗
毛孔粗大	脸上毛孔大
毛孔粗大	脸上毛孔粗
毛孔粗大	脸上的毛孔粗
毛孔粗大	脸部毛孔粗
毛孔粗大	脸颊毛孔粗
毛细血管扩张	出现红血丝
毛细血管扩张	大腿上有红血丝
毛细血管扩张	头面潮红
毛细血管扩张	头面红血丝
毛细血管扩张	头面部潮红
毛细血管扩张	头面部皮肤潮红
毛细血管扩张	头面部皮肤红血丝
毛细血管扩张	头面部红血丝
毛细血管扩张	有红血丝
毛细血管扩张	皮肤有红血丝
毛细血管扩张	红血丝严重
气短	动则气短
气短	呼吸短促
气短	感觉胸闷气短
气短	气短懒言
气短	活动后气短
水样便	排水样便
水样便	稀水便
水样便	稀水样便
水肿	下半身水肿
水肿	下半身肿
水肿	下肢肿
水肿	下身肿
水肿	两条腿肿
水肿	充血水肿
水肿	全身发肿
水肿	双侧大腿肿
水肿	双大腿肿
水肿	双腿肿
水肿	四肢肿
泌乳	乳头有乳汁
泌乳	乳房有乳汁
注意力不集中	注意力下降
注意力不集中	注意力涣散
活动后气促	活动后气急
活动障碍	活动困难
流泪	一直流眼泪
流泪	常流眼泪
流泪	总是流眼泪
流泪	总流眼泪
流泪	泪溢
流泪	流眼泪
流泪	流眼泪水
流泪	溢泪
流泪	爱流眼泪
流泪	眼睛流泪
流泪	眼睛流眼泪
流涎	口角流涎
流涎	流口水
流涕	双侧鼻腔溢
流涕	反复流脓涕
流涕	宝宝流清鼻涕
流涕	总是流清鼻涕
流涕	感冒流鼻涕
流涕	流大量清水样鼻涕
流涕	流清水样鼻涕
流涕	流清水涕
流涕	流清涕
流涕	流清鼻涕
流涕	流鼻水
消瘦	上下肢消瘦
消瘦	人消瘦
消瘦	体型消瘦
消瘦	体形消瘦
消瘦	体重消瘦
消瘦	全身消瘦
消瘦	全身肌肉消瘦
消瘦	形体消瘦
消瘦	日渐消瘦
消瘦	肌肉消瘦
消瘦	肢体消瘦
淋巴水肿	全身淋巴结水肿
淋巴水肿	淋巴结水肿
淋巴结化脓	全身淋巴结化脓
淋巴结化脓	淋巴化脓
淋巴结破溃	全身淋巴结破溃
淋巴结破溃	淋巴破溃
淋巴结红肿	全身淋巴结红肿
淋巴结红肿	淋巴红肿
淋巴结肿大	全身淋巴结肿大
淋巴结肿大	淋巴大
淋巴结肿大	淋巴结增大
淋巴结肿大	淋巴结增生
淋巴结肿大	淋巴结大
淋巴结肿大	淋巴结肿
淋巴结肿大	淋巴肿
淋巴结肿大	淋巴肿了
淋巴结肿大	淋巴肿大
淋巴结肿大	淋巴节肿大
淋巴结肿胀	全身淋巴结肿胀
淋巴结肿胀	淋巴肿胀
淋巴肉芽肿	全身淋巴结肉芽肿
淋巴肉芽肿	淋巴结肉芽肿
深昏迷	深度昏迷
渗出	液体渗出
渗出	渗液
溶血	急性溶血
溶血	溶血现象
滑膜充血	关节滑膜充血
潮热	身体各处潮热
潮热	身体潮热
潮热	骨蒸潮热
潮红	全身皮肤潮红
潮红	皮肤潮红
烦渴	暑热烦渴
烦躁	容易烦躁
烦躁	心情烦燥
烦躁	心情烦躁
烦躁	心烦
烦躁	心烦不寐
烦躁	心烦不眠
烦躁	心烦喜呕
烦躁	心烦急躁
烦躁	心烦意乱
烦躁	心烦气燥
烦躁	心烦气躁
燥热	浑身燥热
牙痛	牙体疼痛
牙痛	牙床疼
牙痛	牙床疼痛
牙痛	牙床痛
牙痛	牙很疼
牙痛	牙根疼痛
牙痛	牙疼
牙痛	牙疼痛
牙痛	牙疼的厉害
牙痛	牙齿剧痛
牙痛	牙齿很疼
牙齿发育不良	牙体发育不良
牙齿松动	松动的牙齿
牙齿松动	牙体松动
牙齿松动	牙有松动
牙齿松动	牙有点松动
牙齿松动	牙松动
牙齿松动	牙齿有些松动
牙齿松动	牙齿有点松动
牙齿松动	牙齿松了
牙齿肿胀	牙体肿胀
牙齿麻木	牙体麻木
牙龈出血	牙体出血
牙龈出血	牙出血
牙龈出血	牙周出血
牙龈出血	牙床出血
牙龈出血	牙流血
牙龈出血	牙齿出血
牙龈出血	牙龈流血
牙龈出血	齿龈出血
牙龈水肿	牙周水肿
牙龈水肿	牙床水肿
牙龈水肿	齿龈水肿
生殖器溃疡	下体溃疡
生殖器溃疡	会阴溃疡
生殖器溃疡	女阴溃疡
生殖器溃疡	女阴部溃疡
生殖器溃疡	生殖器部溃疡
生殖器溃疡	私处溃疡
生殖器溃疡	阴溃疡
生殖器溃疡	阴道溃疡
生殖器溃疡	阴部溃疡
甲状腺内出血	双侧甲状腺内出血
甲状腺疼痛	双侧甲状腺疼痛
甲状腺结节	双侧甲状腺结节
甲状腺肿物	双侧甲状腺包块
甲状腺肿物	双侧甲状腺肿块
甲状腺肿物	双侧甲状腺肿物
甲状腺肿物	甲状腺包块
甲状腺肿物	甲状腺肿块
甲状腺萎缩	双侧甲状腺萎缩
畏光	怕光
畏光	眼睛怕光
畏光	眼睛畏光
畏光	羞明畏光
畏寒	上下肢怕冷
畏寒	上下肢畏寒
畏寒	全身怕冷
畏寒	冬天四肢冰冷
畏寒	冬天四肢冰凉
畏寒	四肢凉
畏寒	四肢发凉
畏寒	微恶寒
畏寒	怕冷
畏寒	恶寒
畏寒	浑身怕冷
疱疹	嘴唇上火起泡
疱疹	嘴唇起泡
疱疹	水泡
疱疹	水泡疹
疱疹	水疱
疱疹	水疱疹
疱疹	泡疹
疱疹	眼皮肿
疱疹	脚心起泡
疱疹	舌头起泡
疱疹	起水疱
疼痛	全身性疼痛
疼痛	全身疼
疼痛	全身疼痛
疼痛	全身疼痛不适
疼痛	全身都疼
疼痛	浑身性疼痛
疼痛	浑身疼
疼痛	浑身疼痛
疼痛	疼痛不适
疼痛	疼痛症
疼痛	身上性疼痛
痘印	脸上有痘坑
痘印	脸上痘坑
痛经	月经很痛
痛经	月经期疼痛
痛经	月经期间疼痛
痛经	月经疼痛
痛经	月经疼痛难忍
痛经	月经痛
痛经	来月经会痛
痛经	经期腹痛
痛经	经痛
痛经	经行腹痛
痛经	行经腹痛
痰多	多痰
痰多	痰液增多
痴呆	全身血管痴呆
痴呆	智力下降
痴呆	血管痴呆
痴呆	额颞痴呆
痴呆	额颞部痴呆
白发	头发全白
白发	头发全白了
白发	头发变白
白发	头发早白
白发	头发花白
白发	头发都白了
白发	少白头
白发	额头白发
白发	额部白发
白带增多	子宫宫颈分泌物增多
白带增多	子宫颈分泌物增多
白带增多	宫颈分泌物增多
白带增多	白带多
白带增多	白带过多
白带增多	阴道分泌物增多
白带增多	阴道分泌物多
白斑	黑色素脱落
白细胞减少	白细胞3.1
白细胞减少	白细胞下降
白细胞减少	白细胞低
白细胞减少	白细胞偏低
白细胞减少	白细胞偏少
白细胞减少	白细胞太低
白细胞减少	白细胞少
白细胞减少	白细胞底
白细胞减少	白细胞很低
白细胞减少	白细胞有点低
白细胞减少	白细胞计数减少
皮下出血	全身皮下出血
皮下出血	皮肤下出血
皮下气肿	全身皮下气肿
皮下水肿	全身皮下水肿
皮下淤斑	全身皮下淤斑
皮下淤血	全身皮下淤血
皮下淤血	全身皮下瘀血
皮下淤血	皮下瘀血
皮下结节	全身皮下结节
皮下肿块	全身皮下肿块
皮下脓肿	全身皮下脓肿
皮损	皮肤损害
皮肤充血	全身皮肤充血
皮肤出汗	全身皮肤出汗
皮肤出血	全身皮肤出血
皮肤化脓	全身皮肤化脓
皮肤增厚	全身皮肤增厚
皮肤增厚	全身皮肤肥厚
皮肤增厚	皮肤肥厚
皮肤多汗	全身皮肤多汗
皮肤改变	全身皮肤改变
皮肤斑丘疹	全身皮肤斑丘疹
皮肤湿冷	全身皮肤湿冷
皮肤溃疡	全身皮肤溃烂
皮肤溃疡	全身皮肤溃疡
皮肤疱疹	全身皮肤疱疹
皮肤痛	全身皮肤刺痛
皮肤痛	全身皮肤疼痛
皮肤痛	全身皮肤痛
皮肤痛	皮肤刺痛
皮肤痛	皮肤疼痛
皮肤痛	皮肤表面疼痛
皮肤瘀点	全身皮肤瘀点
皮肤瘀血	全身皮肤瘀血
皮肤癣菌	全身皮肤癣菌
皮肤皲裂	全身皮肤干裂
皮肤皲裂	全身皮肤皲裂
皮肤皲裂	皮肤干裂
皮肤破溃	全身皮肤破溃
皮肤粗糙	全身皮肤粗糙
皮肤粗糙	皮肤比较粗糙
皮肤粘连	全身皮肤粘连
皮肤紧张	全身皮肤紧张
皮肤红肿	全身皮肤红肿
皮肤老化	全身皮肤老化
皮肤肉芽肿	全身皮肤肉芽肿
皮肤肿块	全身皮肤肿块
皮肤脓疱	全身皮肤脓疱
皮肤脓肿	全身皮肤脓肿
皮肤脱水	全身皮肤脱水
皮肤苍白	全身皮肤苍白
皮肤萎缩	全身皮肤萎缩
皮肤麻木	全身皮肤麻木
皮肤黄染	全身皮肤发黄
皮肤黄染	全身皮肤黄染
皮肤黄染	全身皮肤黄疸
皮肤黄染	皮肤偏黄
皮肤黄染	皮肤变黄
皮肤黄染	皮肤很黄
皮肤黄染	皮肤有点黄
皮肤黄染	皮肤黄
皮肤黄染	皮肤黄疸
皮肤黏膜出血	皮肤粘膜出血
盆腔包块	盆腔肿块
盆腔疼痛	盆腔区域疼痛
盆腔疼痛	骨盆疼痛
盆腔疼痛	骨盆痛
盗汗	夜汗
盗汗	夜间出汗
盗汗	夜间多汗
盗汗	夜间盗汗
盗汗	睡觉出汗
盗汗	睡觉盗汗
眩晕	后脑勺晕
眩晕	头目眩晕
眩晕	头眩晕
眩晕	头部眩晕
眩晕	晕,想吐
眩晕	晕眩
眼前黑影	眼前黑影飘动
眼前黑影	眼球前黑影
眼外伤	眼球外伤
眼外伤	眼睛受伤
眼外伤	眼睛外伤
眼外伤	眼部外伤
眼外肌麻痹	眼球外肌麻痹
眼外肌麻痹	眼睛外肌麻痹
眼外肌麻痹	眼部外肌麻痹
眼屎多	眼球屎多
眼底出血	眼球底出血
眼底改变	眼底异常
眼底改变	眼球底异常
眼底改变	眼球底改变
眼痒	眼发痒
眼痒	眼球发痒
眼痒	眼球痒
眼痒	眼球瘙痒
眼痒	眼瘙痒
眼痒	眼睛发痒
眼痒	眼睛很痒
眼痒	眼睛有点痒
眼痒	眼睛特别痒
眼痒	眼睛痒
眼痒	眼睛痒痒
眼痛	上下眼睑疼痛
眼痛	剧烈眼痛
眼痛	双侧眼睑疼痛
眼痛	眼球疼痛
眼痛	眼球痛
眼痛	眼球胀痛
眼痛	眼疼
眼痛	眼疼痛
眼痛	眼皮疼痛
眼痛	眼睑疼痛
眼痛	眼睛刺痛
眼睑充血	上下眼睑充血
眼睑充血	双侧眼睑充血
眼睑充血	眼皮充血
眼睑充血	眼部皮肤充血
眼睑化脓	上下眼睑化脓
眼睑化脓	双侧眼睑化脓
眼睑化脓	眼皮化脓
眼睑化脓	眼部皮肤化脓
眼睑脓肿	上下眼睑脓肿
眼睑脓肿	双侧眼睑脓肿
眼睑脓肿	眼皮脓肿
眼睑脓肿	眼部皮肤脓肿
眼肌麻痹	眼球肌麻痹
眼胀	眼发胀
眼胀	眼球发胀
眼胀	眼球胀
眼胀	眼睛发胀
眼胀	眼睛胀
眼胀	眼部发胀
眼胀	眼部胀
眼震	眼球震
眼震	眼睛震
眼震	眼部震
睑结膜瘢痕	眼睑结膜瘢痕
睾丸发育不良	双侧睾丸发育不良
睾丸发育不良	阴囊发育不良
睾丸发育不良	阴囊部发育不良
睾丸扭转	阴囊扭转
睾丸扭转	阴囊部扭转
瞳孔散大	瞳孔变大
瞳孔散大	瞳孔放大
破溃	溃烂
磨牙	咬牙齿
磨牙	夜间睡眠磨牙
磨牙	夜间磨牙
磨牙	睡觉磨牙
神志不清	神志模糊
神经水肿	全身神经水肿
神经痛	全身神经疼痛
神经痛	全身神经痛
神经痛	神经疼
神经痛	神经疼痛
神经痛	腿神经疼
神经紧张	全身神经紧张
神经缺血	全身神经缺血
神经萎缩	全身神经萎缩
神经运动障碍	全身神经运动障碍
神经麻痹	全身神经麻痹
稀便	大便溏泻
稀便	大便溏稀
稀便	大便稀溏
稀便	排稀便
突发头晕	突然头晕
粉红色泡沫痰	咳粉红色泡沫样痰
粉红色泡沫痰	咳粉红色泡沫痰
粉红色泡沫痰	粉红色泡沫样痰
红斑	全身皮肤红斑
红斑	皮肤红斑
红斑	皮肤红疹
红斑	红斑疹
红斑	红斑结节
红斑	红疹
红斑	结节性红斑
红斑	蝴蝶斑
红斑	起红斑
红细胞增多	红细胞偏高
红细胞增多	红细胞多
红色丘疹	红色小丘疹
红色丘疹	红色斑丘疹
纵隔脓肿	纵膈脓肿
结膜下出血	眼白充血
结膜充血	眼睑结膜充血
结膜充血	眼睛发红
结膜充血	眼睛红了
结膜充血	睑结膜充血
结膜出血	眼结膜出血
缺氧	身体缺氧
羊水过多	羊水量多
羊水过少	羊水少
耳痒	外耳道瘙痒
耳痒	耳朵很痒
耳痒	耳朵痒
耳痒	耳朵瘙痒
耳痒	耳部痒
耳痛	左耳疼痛
耳痛	耳廓痛
耳痛	耳朵刺痛
耳痛	耳朵很痛
耳痛	耳朵有点痛
耳痛	耳朵根部疼痛
耳痛	耳朵疼
耳痛	耳朵疼痛
耳痛	耳朵痛
耳痛	耳朵里痛
耳痛	耳朵里面疼痛
耳聋	一只耳朵听不见
耳聋	听力不好
耳聋	听力障碍
耳聋	突发性耳聋
耳聋	突发性聋
耳聋	耳朵听不到
耳聋	耳朵听不到声音
耳聋	耳朵听不清
耳聋	耳朵听不清楚
耳聋	耳朵听不见
耳聋	耳朵听不见了
耳闷	耳堵
耳闷	耳朵堵
耳闷	耳朵闷
耳闷	耳道堵塞
耳闷	耳部堵
耳闷	耳部闷
耳闷	耳闷胀
耳鸣	耳朵一直响
耳鸣	耳朵一直嗡嗡响
耳鸣	耳朵叫
耳鸣	耳朵响
耳鸣	耳朵嗡嗡
耳鸣	耳朵嗡嗡响
耳鸣	耳朵嗡嗡的响
耳鸣	耳朵有声音
耳鸣	耳朵耳鸣
耳鸣	耳朵里响
耳鸣	耳朵里嗡嗡响
耻骨结节	耻骨部结节
肌张力增高	上下肢肌张力增高
肌张力增高	肌张力亢进
肌张力增高	肌张力高
肌张力增高	肢体肌张力增高
肌张力增高	胳膊腿肌张力增高
肌肉僵硬	全身肌肉僵硬
肌肉出血	全身肌肉出血
肌肉发育不良	全身肌肉发育不良
肌肉松弛	全身肌肉松弛
肌肉肿块	全身肌肉肿块
肌肉肿胀	全身肌肉肿胀
肌肉脓肿	全身肌肉脓肿
肌肉运动障碍	全身肌肉运动障碍
肌酐高	肌酐偏高
肛周溃疡	屁眼溃疡
肛周溃疡	肛周部溃疡
肛周溃疡	肛门周围溃疡
肛周溃疡	肛门溃疡
肛周溃疡	肛门部溃疡
肛周溃疡	肛门附近溃疡
肛周疱疹	屁眼疱疹
肛周疱疹	肛周部疱疹
肛周疱疹	肛门周围疱疹
肛周疱疹	肛门疱疹
肛周疱疹	肛门部疱疹
肛周疱疹	肛门附近疱疹
肛周疼痛	屁眼疼痛
肛周疼痛	屁眼肿胀
肛周疼痛	肛周部疼痛
肛周疼痛	肛门内疼痛
肛周疼痛	肛门剧痛
肛周疼痛	肛门周围疼痛
肛周疼痛	肛门灼痛
肛周疼痛	肛门疼
肛周疼痛	肛门疼痛
肛周疼痛	肛门痛
肛周疼痛	肛门肿痛
肛周红肿	屁眼红肿
肛周红肿	肛周部红肿
肛周红肿	肛门周围红肿
肛周红肿	肛门红肿
肛周红肿	肛门部红肿
肛周红肿	肛门附近红肿
肛周脓肿	屁眼化脓
肛周脓肿	屁眼脓肿
肛周脓肿	肛周部脓肿
肛周脓肿	肛门化脓
肛周脓肿	肛门周围脓肿
肛周脓肿	肛门脓肿
肛周脓肿	肛门部脓肿
肛周脓肿	肛门附近脓肿
肛门停止排气排便	停止排气
